Size,RDD,TF,Epsilon,Exact,Approximation,Greedy,E_runtime,A_runtime,G_runtime,E_memory,A_memory,G_memory
20,0.6,0.4,10,244,244,244,6639719,19321766,32673226,39251,39253,39027
25,0.6,0.4,10,520,678,813,6715813,18672128,5944770,39294,39297,39241
30,0.6,0.4,10,1013,1136,1607,6826815,22311908,6053872,39314,39318,39242
35,0.6,0.4,10,1533,1846,3272,15503086,28453786,5763639,39974,39978,39242
40,0.6,0.4,10,549,658,709,29195219,29820868,5827939,40667,40672,39242
45,0.6,0.4,10,668,733,1165,17255022,20204578,5804235,39822,39827,39243
5,0.6,0.4,10,53,53,53,5622495,16867709,5928597,39241,39242,39240
50,0.6,0.4,10,927,1046,1753,8584560,22291993,5752327,39425,39431,39243
55,0.6,0.4,10,1716,1925,2809,223559447,126222396,5741351,47272,47329,39244
60,0.6,0.4,10,3075,3409,5100,368918182,309408913,5987688,50533,50540,39244
65,0.6,0.4,10,2127,2334,3235,56535295,64994796,6107701,41555,41563,39244
70,0.6,0.4,10,2111,2225,2936,94555468,51597826,6312745,42367,42375,39245
75,0.6,0.4,10,2401,2515,4095,589224878,624781168,6065382,54510,54621,39245
80,0.6,0.4,10,1835,1957,2355,329268953,346545483,6569939,48040,48049,39245
85,0.6,0.4,10,1674,1799,2777,808245571,366720477,6365336,56977,57088,39246
90,0.6,0.4,10,7968,8703,17460,10114429964,9422004613,6607882,182456,181580,39246
95,0.6,0.4,10,2608,2730,3706,125925928,142402209,7213250,43509,43766,39525
10,0.6,0.6,10,506,718,819,5365208,17371755,6023686,40230,40476,40224
100,0.6,0.6,10,36728,37908,64145,1.20745E+11,64103038379,6489021,1013249,1013877,40476
15,0.6,0.6,10,1074,1208,1337,7035964,22510828,13291918,39332,39365,39305
20,0.6,0.6,10,1372,1868,2157,8260353,21109303,7040507,39587,39590,39336
25,0.6,0.6,10,2861,3441,4429,7830950,24217777,7946870,39678,39681,39521
30,0.6,0.6,10,3125,3910,5137,15477708,28864237,6524097,40240,40243,39521
35,0.6,0.6,10,5381,6228,9816,22655027,54145962,5618794,40788,40792,39522
40,0.6,0.6,10,7433,8167,11148,45790839,44467843,6651672,41322,41327,39522
45,0.6,0.6,10,7128,8030,13372,163789471,149254855,5700120,46053,46058,39523
5,0.6,0.6,10,99,142,142,8547179,29171965,5813601,39521,39521,39520
50,0.6,0.6,10,6866,7791,11334,598615090,374912013,6637961,57970,57976,39523
55,0.6,0.6,10,8771,9730,14869,325610290,166612753,14376578,48952,49000,39523
60,0.6,0.6,10,10767,11488,18261,65892250,90563805,6258327,42178,42185,39524
65,0.6,0.6,10,11983,13118,22712,1018123563,676962079,13828824,63292,63463,39524
70,0.6,0.6,10,20103,21324,38246,3702739308,2830894040,6392626,112607,112293,39524
75,0.6,0.6,10,15389,16120,22958,737099233,740998962,6348276,60719,60798,38796
80,0.6,0.6,10,13471,14653,23351,6283332032,2827338475,6691878,146384,146393,38796
85,0.6,0.6,10,19165,20416,33210,5372330507,3926692353,6870177,143667,144104,38784
90,0.6,0.6,10,29051,30433,48705,15453234133,10984429518,7145016,265585,265393,38628
95,0.6,0.6,10,33609,35099,50659,16530117973,10924739024,7669810,257960,257841,37763
10,0.6,0.8,10,1152,1694,2022,9804165,31782399,20148186,36919,36920,36912
100,0.6,0.8,10,79183,81408,138678,2860170918,2211930810,10049779,93130,93272,36919
15,0.6,0.8,10,2349,2812,4555,7975592,18548892,6768561,36646,36648,36639
20,0.6,0.8,10,3980,4451,6633,7677796,21230530,7736482,36733,36736,36640
25,0.6,0.8,10,6805,7343,10391,6384102,19433469,6069972,36679,36682,36640
30,0.6,0.8,10,8517,9140,13555,9563827,16898848,6312501,36911,36915,36641
35,0.6,0.8,10,9777,11000,14344,7764859,29257196,6139298,36787,36791,36641
40,0.6,0.8,10,17005,18304,28349,15813697,32545273,5900156,37374,37378,36641
45,0.6,0.8,10,20273,21299,34063,18918812,23910239,6238670,37534,37539,36648
5,0.6,0.8,10,297,374,374,6417813,17065009,6805800,36646,36646,36645
50,0.6,0.8,10,27736,28701,41744,11522176,20188213,5970430,37051,37056,36648
55,0.6,0.8,10,27770,28894,48731,52779958,49605648,5959466,39040,39056,36648
60,0.6,0.8,10,23138,24497,47795,234774925,206546998,8518220,45438,45445,36649
65,0.6,0.8,10,35858,37609,59600,466686318,261166293,9247604,52829,52947,36649
70,0.6,0.8,10,48167,49939,76627,394488382,310767569,6186026,51184,51192,36649
75,0.6,0.8,10,45497,46991,69792,202382415,166538225,6503334,45069,45108,36650
80,0.6,0.8,10,59236,61349,89590,185701938,195241593,6167404,44235,44244,36650
